area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,area_title,own_title,industry_title,agglvl_title,size_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,avg_wkly_wage,ownership_desc,size_class,state
01000,1,1027,53,0,2020,1,Alabama -- Statewide,Federal Government,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,4,442,449,448,13717192,2364,Federal Government,All establishment sizes,AL
01000,1,1027,53,0,2020,2,Alabama -- Statewide,Federal Government,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,4,451,449,453,11782224,2010,Federal Government,All establishment sizes,AL
01000,1,1028,53,0,2020,1,Alabama -- Statewide,Federal Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,497,33136,33338,33750,734849077,1692,Federal Government,All establishment sizes,AL
01000,1,1028,53,0,2020,2,Alabama -- Statewide,Federal Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,500,33705,33651,33585,795701878,1819,Federal Government,All establishment sizes,AL
01000,2,1021,53,0,2020,1,Alabama -- Statewide,State Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,175,1140,1129,1123,11452321,779,State Government,All establishment sizes,AL
01000,2,1021,53,0,2020,2,Alabama -- Statewide,State Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,175,1165,1142,1110,13143288,888,State Government,All establishment sizes,AL
01000,2,1022,53,0,2020,1,Alabama -- Statewide,State Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,9,81,81,83,1149954,1083,State Government,All establishment sizes,AL
01000,2,1022,53,0,2020,2,Alabama -- Statewide,State Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,9,84,84,84,1298526,1189,State Government,All establishment sizes,AL
01000,2,1023,53,0,2020,1,Alabama -- Statewide,State Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,2,0,0,0,0,0,State Government,All establishment sizes,AL
01000,2,1023,53,0,2020,2,Alabama -- Statewide,State Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,2,0,0,0,0,0,State Government,All establishment sizes,AL
01000,2,1025,53,0,2020,1,Alabama -- Statewide,State Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,225,64556,66137,66467,962057716,1126,State Government,All establishment sizes,AL
01000,2,1025,53,0,2020,2,Alabama -- Statewide,State Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,225,65484,65277,63141,970381251,1155,State Government,All establishment sizes,AL
01000,2,1026,53,0,2020,1,Alabama -- Statewide,State Government,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,13,253,254,257,2121657,641,State Government,All establishment sizes,AL
01000,2,1026,53,0,2020,2,Alabama -- Statewide,State Government,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,13,258,259,262,2501160,741,State Government,All establishment sizes,AL
01000,2,1027,53,0,2020,1,Alabama -- Statewide,State Government,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,4,0,0,0,0,0,State Government,All establishment sizes,AL
01000,2,1027,53,0,2020,2,Alabama -- Statewide,State Government,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,4,0,0,0,0,0,State Government,All establishment sizes,AL
01000,2,1028,53,0,2020,1,Alabama -- Statewide,State Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,946,30872,30860,30993,376077203,936,State Government,All establishment sizes,AL
01000,2,1028,53,0,2020,2,Alabama -- Statewide,State Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,948,30974,31025,31021,415364445,1030,State Government,All establishment sizes,AL
01000,3,1012,53,0,2020,1,Alabama -- Statewide,Local Government,1012 Construction,"State, by Supersector -- by ownership sector",All establishment sizes,4,0,0,0,0,0,Local Government,All establishment sizes,AL
01000,3,1012,53,0,2020,2,Alabama -- Statewide,Local Government,1012 Construction,"State, by Supersector -- by ownership sector",All establishment sizes,4,0,0,0,0,0,Local Government,All establishment sizes,AL
01000,3,1013,53,0,2020,1,Alabama -- Statewide,Local Government,1013 Manufacturing,"State, by Supersector -- by ownership sector",All establishment sizes,1,0,0,0,0,0,Local Government,All establishment sizes,AL
01000,3,1013,53,0,2020,2,Alabama -- Statewide,Local Government,1013 Manufacturing,"State, by Supersector -- by ownership sector",All establishment sizes,1,0,0,0,0,0,Local Government,All establishment sizes,AL
01000,3,1021,53,0,2020,1,Alabama -- Statewide,Local Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,448,12591,12629,12622,137738840,840,Local Government,All establishment sizes,AL
01000,3,1021,53,0,2020,2,Alabama -- Statewide,Local Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,448,12499,12271,12333,139940070,870,Local Government,All establishment sizes,AL
01000,3,1022,53,0,2020,1,Alabama -- Statewide,Local Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,55,712,717,724,4356055,467,Local Government,All establishment sizes,AL
01000,3,1022,53,0,2020,2,Alabama -- Statewide,Local Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,55,683,651,672,4657316,536,Local Government,All establishment sizes,AL
01000,3,1023,53,0,2020,1,Alabama -- Statewide,Local Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,134,1715,1702,1706,19827641,893,Local Government,All establishment sizes,AL
01000,3,1023,53,0,2020,2,Alabama -- Statewide,Local Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,134,1685,1685,1684,19465089,889,Local Government,All establishment sizes,AL
01000,3,1024,53,0,2020,1,Alabama -- Statewide,Local Government,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,82,1120,1123,1110,14749953,1015,Local Government,All establishment sizes,AL
01000,3,1024,53,0,2020,2,Alabama -- Statewide,Local Government,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,83,1097,1059,1055,14972292,1076,Local Government,All establishment sizes,AL
01000,3,1025,53,0,2020,1,Alabama -- Statewide,Local Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,2108,132778,133084,133392,1475064021,853,Local Government,All establishment sizes,AL
01000,3,1025,53,0,2020,2,Alabama -- Statewide,Local Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,2110,130029,120412,120418,1424693923,887,Local Government,All establishment sizes,AL
01000,3,1026,53,0,2020,1,Alabama -- Statewide,Local Government,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,182,5057,5080,5050,43375568,659,Local Government,All establishment sizes,AL
01000,3,1026,53,0,2020,2,Alabama -- Statewide,Local Government,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,182,4368,4269,4484,36520403,642,Local Government,All establishment sizes,AL
01000,3,1027,53,0,2020,1,Alabama -- Statewide,Local Government,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,29,416,413,416,5009675,929,Local Government,All establishment sizes,AL
01000,3,1027,53,0,2020,2,Alabama -- Statewide,Local Government,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,29,408,401,403,4979945,948,Local Government,All establishment sizes,AL
01000,3,1028,53,0,2020,1,Alabama -- Statewide,Local Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,644,61204,61219,61697,672413363,843,Local Government,All establishment sizes,AL
01000,3,1028,53,0,2020,2,Alabama -- Statewide,Local Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,644,60190,60126,61378,664550981,844,Local Government,All establishment sizes,AL
01000,5,1011,53,0,2020,1,Alabama -- Statewide,Private,1011 Natural resources and mining,"State, by Supersector -- by ownership sector",All establishment sizes,1811,18446,18405,17975,264377504,1113,Private,All establishment sizes,AL
01000,5,1011,53,0,2020,2,Alabama -- Statewide,Private,1011 Natural resources and mining,"State, by Supersector -- by ownership sector",All establishment sizes,1827,18169,18335,18232,257754721,1087,Private,All establishment sizes,AL
01000,5,1012,53,0,2020,1,Alabama -- Statewide,Private,1012 Construction,"State, by Supersector -- by ownership sector",All establishment sizes,10051,93549,93624,94452,1303676646,1068,Private,All establishment sizes,AL
01000,5,1012,53,0,2020,2,Alabama -- Statewide,Private,1012 Construction,"State, by Supersector -- by ownership sector",All establishment sizes,10248,89929,90961,92516,1271762267,1073,Private,All establishment sizes,AL
01000,5,1013,53,0,2020,1,Alabama -- Statewide,Private,1013 Manufacturing,"State, by Supersector -- by ownership sector",All establishment sizes,5689,268658,270334,270653,4079061248,1163,Private,All establishment sizes,AL
01000,5,1013,53,0,2020,2,Alabama -- Statewide,Private,1013 Manufacturing,"State, by Supersector -- by ownership sector",All establishment sizes,5749,237957,244812,255053,3436182993,1075,Private,All establishment sizes,AL
01000,5,1021,53,0,2020,1,Alabama -- Statewide,Private,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,32074,377995,376582,376210,4405157165,899,Private,All establishment sizes,AL
01000,5,1021,53,0,2020,2,Alabama -- Statewide,Private,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,32330,346476,358360,369379,3889478838,836,Private,All establishment sizes,AL
01000,5,1022,53,0,2020,1,Alabama -- Statewide,Private,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,2419,20757,20778,20505,350252608,1303,Private,All establishment sizes,AL
01000,5,1022,53,0,2020,2,Alabama -- Statewide,Private,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,2488,18959,18800,18686,310398426,1269,Private,All establishment sizes,AL
01000,5,1023,53,0,2020,1,Alabama -- Statewide,Private,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,13648,94958,95271,95213,1950509273,1577,Private,All establishment sizes,AL
01000,5,1023,53,0,2020,2,Alabama -- Statewide,Private,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,13788,93506,93648,94327,1632924637,1339,Private,All establishment sizes,AL
01000,5,1024,53,0,2020,1,Alabama -- Statewide,Private,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,22229,249671,251595,251379,3806016565,1167,Private,All establishment sizes,AL
01000,5,1024,53,0,2020,2,Alabama -- Statewide,Private,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,22676,220394,224892,229568,3377477929,1155,Private,All establishment sizes,AL
01000,5,1025,53,0,2020,1,Alabama -- Statewide,Private,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,15319,238845,241170,238635,2758565224,886,Private,All establishment sizes,AL
01000,5,1025,53,0,2020,2,Alabama -- Statewide,Private,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,15658,214556,220545,222747,2654532575,931,Private,All establishment sizes,AL
01000,5,1026,53,0,2020,1,Alabama -- Statewide,Private,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,11156,200589,204028,202381,891193335,339,Private,All establishment sizes,AL
01000,5,1026,53,0,2020,2,Alabama -- Statewide,Private,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,11191,130847,156092,172968,687042808,345,Private,All establishment sizes,AL
01000,5,1027,53,0,2020,1,Alabama -- Statewide,Private,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,8906,45164,45561,45241,447874011,760,Private,All establishment sizes,AL
01000,5,1027,53,0,2020,2,Alabama -- Statewide,Private,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,8976,36735,40161,42004,401398103,779,Private,All establishment sizes,AL
02000,1,1021,53,0,2020,1,Alaska -- Statewide,Federal Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,221,2324,2303,2311,34664327,1153,Federal Government,All establishment sizes,AK
02000,1,1021,53,0,2020,2,Alaska -- Statewide,Federal Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,222,2317,2336,2322,39474940,1306,Federal Government,All establishment sizes,AK
02000,1,1022,53,0,2020,1,Alaska -- Statewide,Federal Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,1,5,5,5,56968,876,Federal Government,All establishment sizes,AK
02000,1,1022,53,0,2020,2,Alaska -- Statewide,Federal Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,1,5,5,6,48565,700,Federal Government,All establishment sizes,AK
02000,1,1023,53,0,2020,1,Alaska -- Statewide,Federal Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,5,23,22,22,512486,1765,Federal Government,All establishment sizes,AK
02000,1,1023,53,0,2020,2,Alaska -- Statewide,Federal Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,5,22,22,23,597820,2059,Federal Government,All establishment sizes,AK
02000,1,1024,53,0,2020,1,Alaska -- Statewide,Federal Government,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,30,705,703,702,17357449,1898,Federal Government,All establishment sizes,AK
02000,1,1024,53,0,2020,2,Alaska -- Statewide,Federal Government,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,30,709,708,716,19087860,2065,Federal Government,All establishment sizes,AK
02000,1,1025,53,0,2020,1,Alaska -- Statewide,Federal Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,14,869,867,874,12938253,1144,Federal Government,All establishment sizes,AK
02000,1,1025,53,0,2020,2,Alaska -- Statewide,Federal Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,14,846,847,839,13103346,1194,Federal Government,All establishment sizes,AK
02000,1,1026,53,0,2020,1,Alaska -- Statewide,Federal Government,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,51,964,990,991,14236472,1116,Federal Government,All establishment sizes,AK
02000,1,1026,53,0,2020,2,Alaska -- Statewide,Federal Government,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,51,1004,1116,1373,18556784,1226,Federal Government,All establishment sizes,AK
02000,1,1027,53,0,2020,1,Alaska -- Statewide,Federal Government,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,4,91,90,91,1925759,1634,Federal Government,All establishment sizes,AK
02000,1,1027,53,0,2020,2,Alaska -- Statewide,Federal Government,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,4,91,90,98,2366593,1957,Federal Government,All establishment sizes,AK
02000,1,1028,53,0,2020,1,Alaska -- Statewide,Federal Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,224,9738,9732,10211,203151553,1579,Federal Government,All establishment sizes,AK
02000,1,1028,53,0,2020,2,Alaska -- Statewide,Federal Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,224,10575,10228,10215,239618977,1783,Federal Government,All establishment sizes,AK
02000,2,1021,53,0,2020,1,Alaska -- Statewide,State Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,1,0,0,0,0,0,State Government,All establishment sizes,AK
02000,2,1021,53,0,2020,2,Alaska -- Statewide,State Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,1,0,0,0,0,0,State Government,All establishment sizes,AK
02000,2,1023,53,0,2020,1,Alaska -- Statewide,State Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,15,0,0,0,0,0,State Government,All establishment sizes,AK
02000,2,1023,53,0,2020,2,Alaska -- Statewide,State Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,15,0,0,0,0,0,State Government,All establishment sizes,AK
02000,2,1025,53,0,2020,1,Alaska -- Statewide,State Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,51,4950,5167,5151,77587282,1173,State Government,All establishment sizes,AK
02000,2,1025,53,0,2020,2,Alaska -- Statewide,State Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,51,4949,4043,4005,65942465,1171,State Government,All establishment sizes,AK
02000,2,1028,53,0,2020,1,Alaska -- Statewide,State Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,720,15032,15069,15118,227977676,1163,State Government,All establishment sizes,AK
02000,2,1028,53,0,2020,2,Alaska -- Statewide,State Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,727,15160,15454,15706,240553185,1198,State Government,All establishment sizes,AK
02000,3,1012,53,0,2020,1,Alaska -- Statewide,Local Government,1012 Construction,"State, by Supersector -- by ownership sector",All establishment sizes,54,93,100,98,706460,560,Local Government,All establishment sizes,AK
02000,3,1012,53,0,2020,2,Alaska -- Statewide,Local Government,1012 Construction,"State, by Supersector -- by ownership sector",All establishment sizes,54,94,92,123,821739,614,Local Government,All establishment sizes,AK
02000,3,1021,53,0,2020,1,Alaska -- Statewide,Local Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,17,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1021,53,0,2020,2,Alaska -- Statewide,Local Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,17,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1022,53,0,2020,1,Alaska -- Statewide,Local Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,1,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1022,53,0,2020,2,Alaska -- Statewide,Local Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,1,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1023,53,0,2020,1,Alaska -- Statewide,Local Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,3,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1023,53,0,2020,2,Alaska -- Statewide,Local Government,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,3,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1024,53,0,2020,1,Alaska -- Statewide,Local Government,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,4,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1024,53,0,2020,2,Alaska -- Statewide,Local Government,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,4,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1025,53,0,2020,1,Alaska -- Statewide,Local Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,175,23958,24712,24424,285679306,902,Local Government,All establishment sizes,AK
02000,3,1025,53,0,2020,2,Alaska -- Statewide,Local Government,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,176,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1026,53,0,2020,1,Alaska -- Statewide,Local Government,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,3,36,39,44,312381,606,Local Government,All establishment sizes,AK
02000,3,1026,53,0,2020,2,Alaska -- Statewide,Local Government,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,3,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1027,53,0,2020,1,Alaska -- Statewide,Local Government,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,2,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1027,53,0,2020,2,Alaska -- Statewide,Local Government,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,2,0,0,0,0,0,Local Government,All establishment sizes,AK
02000,3,1028,53,0,2020,1,Alaska -- Statewide,Local Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,388,15282,15294,15244,206494857,1040,Local Government,All establishment sizes,AK
02000,3,1028,53,0,2020,2,Alaska -- Statewide,Local Government,1028 Public administration,"State, by Supersector -- by ownership sector",All establishment sizes,387,14240,14815,15769,220958961,1138,Local Government,All establishment sizes,AK
02000,5,1011,53,0,2020,1,Alaska -- Statewide,Private,1011 Natural resources and mining,"State, by Supersector -- by ownership sector",All establishment sizes,553,14104,14333,14404,553796158,2983,Private,All establishment sizes,AK
02000,5,1011,53,0,2020,2,Alaska -- Statewide,Private,1011 Natural resources and mining,"State, by Supersector -- by ownership sector",All establishment sizes,560,13028,12303,12223,417738945,2567,Private,All establishment sizes,AK
02000,5,1012,53,0,2020,1,Alaska -- Statewide,Private,1012 Construction,"State, by Supersector -- by ownership sector",All establishment sizes,2490,13830,14311,14485,274402303,1486,Private,All establishment sizes,AK
02000,5,1012,53,0,2020,2,Alaska -- Statewide,Private,1012 Construction,"State, by Supersector -- by ownership sector",All establishment sizes,2520,13305,15812,17403,302259317,1499,Private,All establishment sizes,AK
02000,5,1013,53,0,2020,1,Alaska -- Statewide,Private,1013 Manufacturing,"State, by Supersector -- by ownership sector",All establishment sizes,599,9439,12335,11939,153724415,1052,Private,All establishment sizes,AK
02000,5,1013,53,0,2020,2,Alaska -- Statewide,Private,1013 Manufacturing,"State, by Supersector -- by ownership sector",All establishment sizes,605,9917,9962,14982,142379339,943,Private,All establishment sizes,AK
02000,5,1021,53,0,2020,1,Alaska -- Statewide,Private,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,4322,60333,60399,60394,777017428,990,Private,All establishment sizes,AK
02000,5,1021,53,0,2020,2,Alaska -- Statewide,Private,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,4324,54861,56316,58125,752169264,1025,Private,All establishment sizes,AK
02000,5,1022,53,0,2020,1,Alaska -- Statewide,Private,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,396,5155,5119,5049,89609915,1350,Private,All establishment sizes,AK
02000,5,1022,53,0,2020,2,Alaska -- Statewide,Private,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,403,4656,4845,4796,84143128,1358,Private,All establishment sizes,AK
02000,5,1023,53,0,2020,1,Alaska -- Statewide,Private,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,1450,10765,10781,10740,184049818,1316,Private,All establishment sizes,AK
02000,5,1023,53,0,2020,2,Alaska -- Statewide,Private,1023 Financial activities,"State, by Supersector -- by ownership sector",All establishment sizes,1507,10195,10397,10478,166136349,1234,Private,All establishment sizes,AK
02000,5,1024,53,0,2020,1,Alaska -- Statewide,Private,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,3557,26851,27296,27377,447657308,1267,Private,All establishment sizes,AK
02000,5,1024,53,0,2020,2,Alaska -- Statewide,Private,1024 Professional and business services,"State, by Supersector -- by ownership sector",All establishment sizes,3614,24777,25554,25901,432751770,1310,Private,All establishment sizes,AK
02000,5,1025,53,0,2020,1,Alaska -- Statewide,Private,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,2648,50501,50689,50519,694707625,1057,Private,All establishment sizes,AK
02000,5,1025,53,0,2020,2,Alaska -- Statewide,Private,1025 Education and health services,"State, by Supersector -- by ownership sector",All establishment sizes,2650,45140,46832,47909,660128972,1089,Private,All establishment sizes,AK
02000,5,1026,53,0,2020,1,Alaska -- Statewide,Private,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,2697,30406,31295,31008,182717789,455,Private,All establishment sizes,AK
02000,5,1026,53,0,2020,2,Alaska -- Statewide,Private,1026 Leisure and hospitality,"State, by Supersector -- by ownership sector",All establishment sizes,2694,17805,22649,27057,137005901,468,Private,All establishment sizes,AK
02000,5,1027,53,0,2020,1,Alaska -- Statewide,Private,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,1704,9645,9720,9694,103997606,826,Private,All establishment sizes,AK
02000,5,1027,53,0,2020,2,Alaska -- Statewide,Private,1027 Other services,"State, by Supersector -- by ownership sector",All establishment sizes,1727,7479,8587,8989,94371365,869,Private,All establishment sizes,AK
02000,5,1029,53,0,2020,1,Alaska -- Statewide,Private,1029 Unclassified,"State, by Supersector -- by ownership sector",All establishment sizes,42,65,61,59,402724,502,Private,All establishment sizes,AK
02000,5,1029,53,0,2020,2,Alaska -- Statewide,Private,1029 Unclassified,"State, by Supersector -- by ownership sector",All establishment sizes,60,56,63,95,800045,863,Private,All establishment sizes,AK
04000,1,1021,53,0,2020,1,Arizona -- Statewide,Federal Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,276,11021,10904,10860,151332543,1065,Federal Government,All establishment sizes,AZ
04000,1,1021,53,0,2020,2,Arizona -- Statewide,Federal Government,"1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector",All establishment sizes,277,10856,10933,10873,173838227,1228,Federal Government,All establishment sizes,AZ
04000,1,1022,53,0,2020,1,Arizona -- Statewide,Federal Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,1,8,8,8,71239,685,Federal Government,All establishment sizes,AZ
04000,1,1022,53,0,2020,2,Arizona -- Statewide,Federal Government,1022 Information,"State, by Supersector -- by ownership sector",All establishment sizes,1,8,8,8,63370,609,Federal Government,All establishment sizes,AZ
